study name,sub-group,timepoint,Data format,OR,Lower Limit  ,Upper Limit  ,"Event 
delirium group",Delirium group total (N),"Event 
no-delirium group",Non-delirium group total (N),"95% confidence 
interval",Log OR,SE,"Delirium 
mean","Delirium
(SD)","Delirium 
Sample size","No-delirium 
mean","No-delirium
(SD)","No-delirium 
Sample size",Effect direction,"Independent 
group t-value","Independent 
group p-value",difference in means,Lower limit,upper limit,Tail,Hedges's g,Std Err,Variance
VanDerWulp 2019,Mortality ,60 month,Cohort 2x2 (Events),,,,94,116,511,587,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2016,Mortality,1 month,Cohort 2x2 (Events),,,,57,620,7,299,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2022,Mortality  (DEL-S long form 0-1 vs other score),1 month,Cohort 2x2 (Events),,,,11,184,9,168,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2022,Mortality (DEL-S short form 0-1 vs other score),1 month,Cohort 2x2 (Events),,,,11,169,9,183,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2022,Mortality (DEL-S long form 0-1 vs other score),12 month,Cohort 2x2 (Events),,,,58,184,34,168,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2022,Mortality (DEL-S short form 0-1 vs other score),12 month,Cohort 2x2 (Events),,,,56,169,36,183,,,,,,,,,,,,,,,,,,,
Visser 2015,Mortality,12 month,Cohort 2x2 (Events),,,,5,22,33,441,,,,,,,,,,,,,,,,,,,
Vives-Borrás 2019,Mortality,6 month,Cohort 2x2 (Events),,,,9,37,53,490,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Mortality,6 month,Cohort 2x2 (Events),,,,40,107,38,142,,,,,,,,,,,,,,,,,,,
Wolters 2014,Mortality,12 month,Cohort 2x2 (Events),,,,102,412,96,689,,,,,,,,,,,,,,,,,,,
Zakriya 2004,Mortality ,1.5 month,Cohort 2x2 (Events),,,,2,19,1,63,,,,,,,,,,,,,,,,,,,
Zakriya 2004,Mortality,3 month,Cohort 2x2 (Events),,,,2,15,2,61,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,10 month,Cohort 2x2 (Events),,,,28,64,134,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,12 month,Cohort 2x2 (Events),,,,28,64,129,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,13.33 month,Cohort 2x2 (Events),,,,30,64,152,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,16.67 month,Cohort 2x2 (Events),,,,34,64,164,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,20 month,Cohort 2x2 (Events),,,,43,64,276,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,23.33 month,Cohort 2x2 (Events),,,,45,64,285,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,26.67 month,Cohort 2x2 (Events),,,,45,64,296,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,3.33 month,Cohort 2x2 (Events),,,,21,64,86,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,30 month,Cohort 2x2 (Events),,,,45,64,309,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,33.33 month,Cohort 2x2 (Events),,,,48,64,324,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,36.67 month,Cohort 2x2 (Events),,,,50,64,340,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality,40 month,Cohort 2x2 (Events),,,,59,64,450,527,,,,,,,,,,,,,,,,,,,
Zipprich 2020,Mortality ,6.67 month,Cohort 2x2 (Events),,,,26,64,117,527,,,,,,,,,,,,,,,,,,,
Ditzel 2023,Mortality,3 month,Cohort 2x2 (Events),,,,0,38,5,208,,,,,,,,,,,,,,,,,,,
Miu 2013,Mortality,12 month,Cohort 2x2 (Events),,,,26,86,17,228,,,,,,,,,,,,,,,,,,,
van Rijsbergen 2011,Mortality,24 month,Cohort 2x2 (Events),,,,30,52,16,44,,,,,,,,,,,,,,,,,,,
Sánchez-Lozano 2023,Mortality,3 month,Cohort 2x2 (Events),,,,34,96,29,273,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Quality of life ,3 month,Odds ratio,2.26,0.96,5.36,,,,,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Quality of life,3 month,Cohort 2x2 (Events),,,,16,25,88,200,,,,,,,,,,,,,,,,,,,
Hoogma 2023,Quality of life,6 month,Cohort 2x2 (Events),,,,48,78,67,139,,,,,,,,,,,,,,,,,,,
Suraarunsumrit 2022,Quality of life,3 month,Cohort 2x2 (Events),,,,7,26,57,247,,,,,,,,,,,,,,,,,,,
VanderHeijden 2023,Quality of life,12 month,Cohort 2x2 (Events),,,,84,529,139,1871,,,,,,,,,,,,,,,,,,,
Brown 2020,Anxiety disorder,12 month,Odds ratio,1.18,0.91,1.54,,,,,,,,,,,,,,,,,,,,,,,
Brown 2020,Depressive disorder,12 month,Odds ratio,1.19,0.93,1.52,,,,,,,,,,,,,,,,,,,,,,,
Brown 2020,Trauma-and-stressor related disorder,12 month,Odds ratio,0.82,0.51,1.3,,,,,,,,,,,,,,,,,,,,,,,
DelaVarga-Martínez 2022,Emotional problems,36 month,Odds ratio,4.3,1.87,9.91,,,,,,,,,,,,,,,,,,,,,,,
DelaVarga-Martínez 2022,Nightmares/ Bad dreams,36 month,Odds ratio,8.99,1.98,40.9,,,,,,,,,,,,,,,,,,,,,,,
DelaVarga-Martínez 2022,Sleep disorders,36 month,Odds ratio,5.21,2.29,11.84,,,,,,,,,,,,,,,,,,,,,,,
Drews 2015,PTSD,3 month,Odds ratio,2.411,1.064,5.464,,,,,,,,,,,,,,,,,,,,,,,
Jackson 2014,Depression ,12 month,Odds ratio,2.31,1.25,4.27,,,,,,,,,,,,,,,,,,,,,,,
Jackson 2014,Depression ,3 month,Odds ratio,1.63,0.94,2.85,,,,,,,,,,,,,,,,,,,,,,,
Jackson 2014,PTSD,12 month,Odds ratio,1.92,1.03,3.55,,,,,,,,,,,,,,,,,,,,,,,
Jackson 2014,PTSD ,3 month,Odds ratio,1.39,0.78,2.47,,,,,,,,,,,,,,,,,,,,,,,
Miyamoto 2021,Anxiety symptoms ,12 month,Odds ratio,3.65,,12.97,,,,,,,,,,,,,,,,,,,,,,,
Miyamoto 2021,Anxiety symptoms ,3 month,Odds ratio,1.8,0.64,5.07,,,,,,,,,,,,,,,,,,,,,,,
Miyamoto 2021,Depression symptoms ,12 month,Odds ratio,3.3,0.62,17.75,,,,,,,,,,,,,,,,,,,,,,,
Miyamoto 2021,Depression symptoms ,3 month,Odds ratio,1.95,0.65,5.9,,,,,,,,,,,,,,,,,,,,,,,
Miyamoto 2021,PTSD symptoms ,12 month,Odds ratio,3.23,0.61,17.13,,,,,,,,,,,,,,,,,,,,,,,
Miyamoto 2021,PTSD symptoms ,3 month,Odds ratio,2.14,0.57,8.11,,,,,,,,,,,,,,,,,,,,,,,
Nguyen 2018,Alcohol consumption,6 month,Odds ratio,0.64,0.22,1.86,,,,,,,,,,,,,,,,,,,,,,,
Nguyen 2018,Depressed,6 month,Odds ratio,1.8,0.63,5.1,,,,,,,,,,,,,,,,,,,,,,,
Nguyen 2018,EuroQoL-5D anxiety/depression issue (>1),6 month,Odds ratio,4.41,1.52,12.92,,,,,,,,,,,,,,,,,,,,,,,
VanderHeijden 2023,"Anxiety, depression, or PTSD symptoms (Non-persistent delirium)",12 month,Odds ratio,1.2,0.9,1.6,,,,,,,,,,,,,,,,,,,,,,,
VanderHeijden 2023,"Anxiety, depression, or PTSD symptoms (persistent delirium)",12 month,Odds ratio,0.68,0.26,1.79,,,,,,,,,,,,,,,,,,,,,,,
Bulic 2020,PTSD (probable ) ,12 month,Cohort 2x2 (Events),,,,3,27,7,33,,,,,,,,,,,,,,,,,,,
Bulic 2020,PTSD (probable ) ,6 month,Cohort 2x2 (Events),,,,6,27,10,38,,,,,,,,,,,,,,,,,,,
Bulic 2020,PTSD (severe ) ,12 month,Cohort 2x2 (Events),,,,11,27,4,33,,,,,,,,,,,,,,,,,,,
Bulic 2020,PTSD (severe ),6 month,Cohort 2x2 (Events),,,,6,27,8,38,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Depression ,12 month,Cohort 2x2 (Events),,,,38,62,17,50,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Depression ,36 month,Cohort 2x2 (Events),,,,24,39,12,36,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Depression ,4 month,Cohort 2x2 (Events),,,,42,67,14,55,,,,,,,,,,,,,,,,,,,
Slor 2013,Generalized anxiety disorder,3 month,Cohort 2x2 (Events),,,,1,20,1,27,,,,,,,,,,,,,,,,,,,
Slor 2013,Major depressive episode,3 month,Cohort 2x2 (Events),,,,5,20,4,27,,,,,,,,,,,,,,,,,,,
Slor 2013,Major depressive episode with melancholic features,3 month,Cohort 2x2 (Events),,,,2,21,3,27,,,,,,,,,,,,,,,,,,,
Svenningsen 2015,Anxiety ,2 month,Cohort 2x2 (Events),,,,12,159,7,118,,,,,,,,,,,,,,,,,,,
Svenningsen 2015,Anxiety ,6 month,Cohort 2x2 (Events),,,,5,159,4,118,,,,,,,,,,,,,,,,,,,
Svenningsen 2015,Depression ,2 month,Cohort 2x2 (Events),,,,16,159,14,118,,,,,,,,,,,,,,,,,,,
Svenningsen 2015,Depression ,6 month,Cohort 2x2 (Events),,,,11,159,12,118,,,,,,,,,,,,,,,,,,,
Svenningsen 2015,PTSD ,2 month,Cohort 2x2 (Events),,,,12,159,9,118,,,,,,,,,,,,,,,,,,,
Svenningsen 2015,PTSD,6 month,Cohort 2x2 (Events),,,,8,159,4,118,,,,,,,,,,,,,,,,,,,
Verloo 2016,Depression,0.067 month,Cohort 2x2 (Events),,,,7,20,37,94,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Agitaion and aggression,6 month,Cohort 2x2 (Events),,,,12,57,7,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Anxiety,6 month,Cohort 2x2 (Events),,,,13,57,8,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Apathy,6 month,Cohort 2x2 (Events),,,,20,57,17,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Appetite and eating problems,6 month,Cohort 2x2 (Events),,,,11,57,16,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Delusion,6 month,Cohort 2x2 (Events),,,,11,57,4,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Depression,6 month,Cohort 2x2 (Events),,,,10,57,7,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Dinhibiltion,6 month,Cohort 2x2 (Events),,,,3,57,2,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Elation,6 month,Cohort 2x2 (Events),,,,2,57,0,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Hallucination,6 month,Cohort 2x2 (Events),,,,7,57,1,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Irritablity,6 month,Cohort 2x2 (Events),,,,10,57,4,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Psychomotor activity,6 month,Cohort 2x2 (Events),,,,10,57,3,64,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Sleep problem,6 month,Cohort 2x2 (Events),,,,12,57,7,64,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Cognitive decline,3 month,Odds ratio,1.36,0.34,5.36,,,,,,,,,,,,,,,,,,,,,,,
Bryson 2011,Cognitive decline,3 month,Odds ratio,2.1,0.28,15.92,,,,,,,,,,,,,,,,,,,,,,,
McCusker 2014,Cognitive decline,6 month,Cohort 2x2 (Events),,,,5,26,37,220,,,,,,,,,,,,,,,,,,,
Saczynski 2012,Objective_change (cognitive decline),12 month,Cohort 2x2 (Events),,,,41,103,29,122,,,,,,,,,,,,,,,,,,,
Saczynski 2012,Objective_change (cognitive decline) ,1 month,Cohort 2x2 (Events),,,,66,103,45,122,,,,,,,,,,,,,,,,,,,
Saczynski 2012,Objective_change (cognitive decline) ,6 month,Cohort 2x2 (Events),,,,32,103,24,122,,,,,,,,,,,,,,,,,,,
Vives-Borrás 2019,Objective_change (cognitive decline),6 month,Cohort 2x2 (Events),,,,8,37,114,490,,,,,,,,,,,,,,,,,,,
Daiello 2019,Objective_change (cognitive decline ),1 month,Cohort 2x2 (Events),,,,75,129,181,419,,,,,,,,,,,,,,,,,,,
Daiello 2019,Objective_change (cognitive decline ),2 month,Cohort 2x2 (Events),,,,31,126,92,410,,,,,,,,,,,,,,,,,,,
Daiello 2019,Objective_change (cognitive decline ,6 month,Cohort 2x2 (Events),,,,23,124,62,404,,,,,,,,,,,,,,,,,,,
Rudolph 2008,Objective_change (cognitive decline),3 month,Cohort 2x2 (Events),,,,9,61,85,883,,,,,,,,,,,,,,,,,,,
Bickel 2008,Objective_ performance (Cognitive impairment ),38 month,Odds ratio,6.2,1.5,25.8,,,,,,,,,,,,,,,,,,,,,,,
Bickel 2008,Objective performance(Cognitive impairment),8 month,Odds ratio,4.7,1.6,13.5,,,,,,,,,,,,,,,,,,,,,,,
Franck 2016,Objective performance(Cognitive impairment_PACU delirium),3 month,Odds ratio,1.27,0.53,3.04,,,,,,,,,,,,,,,,,,,,,,,
Franck 2016,Objective performance(Cognitive impairment_PACU delirium and post-operative delirium),3 month,Odds ratio,1.41,0.5,4.01,,,,,,,,,,,,,,,,,,,,,,,
Franck 2016,Objective performance(Cognitive impairment_post-operative delirium),3 month,Odds ratio,2.56,1.07,6.16,,,,,,,,,,,,,,,,,,,,,,,
Gonçalves 2023,Objective performance(Cognitive impairment),12 month,Odds ratio,2.04,1.2,3.45,,,,,,,,,,,,,,,,,,,,,,,
Nguyen 2018,Objective performance(Cognitive impairment CFT),6 month,Odds ratio,1.14,0.41,3.15,,,,,,,,,,,,,,,,,,,,,,,
Nguyen 2018,Objective performance(Cognitive impairment MIS),6 month,Odds ratio,1.02,0.33,3.16,,,,,,,,,,,,,,,,,,,,,,,
Chen 2017,Objective performance (Cognitive impairment),9.82 month,Odds ratio,4.787,2.038,11.244,,,,,,,,,,,,,,,,,,,,,,,
Bulic 2020,Objective performance Cognitive impairment ,12 month,Cohort 2x2 (Events),,,,14,27,20,33,,,,,,,,,,,,,,,,,,,
Bulic 2020,Objective performance Cognitive impairment ,6 month,Cohort 2x2 (Events),,,,14,27,18,38,,,,,,,,,,,,,,,,,,,
Dostovic 2021,Objective performance Cognitive impairment,12 month,Cohort 2x2 (Events),,,,55,75,24,96,,,,,,,,,,,,,,,,,,,
Mathies 2020,Objective performance Cognitive impairment,12 month,Cohort 2x2 (Events),,,,14,21,21,47,,,,,,,,,,,,,,,,,,,
Verloo 2016,Objective performance Cognitive impairment,0.067 month,Cohort 2x2 (Events),,,,17,20,75,94,,,,,,,,,,,,,,,,,,,
Van Rijsbergen 2011,Objective performance Cognitive impairment_Attention,24 month,Cohort 2x2 (Events),,,,10,14,7,20,,,,,,,,,,,,,,,,,,,
Van Rijsbergen 2011,Objective performance Cognitive impairment_Executive function,24 month,Cohort 2x2 (Events),,,,10,17,6,24,,,,,,,,,,,,,,,,,,,
Van Rijsbergen 2011,Objective performance Cognitive impairment_Language,24 month,Cohort 2x2 (Events),,,,9,17,5,23,,,,,,,,,,,,,,,,,,,
Van Rijsbergen 2011,Objective performance Cognitive impairment_Verbal memory,24 month,Cohort 2x2 (Events),,,,7,15,2,23,,,,,,,,,,,,,,,,,,,
Van Rijsbergen 2011,Objective performance Cognitive impairment_Visual construction,24 month,Cohort 2x2 (Events),,,,10,13,7,20,,,,,,,,,,,,,,,,,,,
Van Rijsbergen 2011,Objective performance Cognitive impairment_Visual memory,24 month,Cohort 2x2 (Events),,,,5,13,5,20,,,,,,,,,,,,,,,,,,,
Van Rijsbergen 2011,Objective performance Cognitive impairment_Visual perception,24 month,Cohort 2x2 (Events),,,,7,15,7,20,,,,,,,,,,,,,,,,,,,
DelaVarga-Martínez 2022,Subjective performance Cognitive impairment _Concentration problems,36 month,Odds ratio,11.2,3.58,35.09,,,,,,,,,,,,,,,,,,,,,,,
DelaVarga-Martínez 2022,Subjective performance Cognitive impairment _Confusion/ Desorientation,36 month,Odds ratio,10.93,3.61,33.12,,,,,,,,,,,,,,,,,,,,,,,
DelaVarga-Martínez 2022,Subjective performance Cognitive impairment _Memory problems,36 month,Odds ratio,6.11,2.54,14.68,,,,,,,,,,,,,,,,,,,,,,,
VanderHeijden 2023,Subjective performance Cognitive impairment_Non-persistent delirium,12 month,Odds ratio,1.24,0.8,1.93,,,,,,,,,,,,,,,,,,,,,,,
VanderHeijden 2023,Subjective performance Cognitive impairment_persistent delirium,12 month,Odds ratio,3.9,1.31,11.63,,,,,,,,,,,,,,,,,,,,,,,
Wolters 2014,Subjective performance Cognitive impairment_mild problems with cognitive functioning,12 month,Odds ratio,2.41,1.57,3.69,,,,,,,,,,,,,,,,,,,,,,,
Wolters 2014,Subjective performance Cognitive impairment_severe problems with cognitive functioning,3 month,Odds ratio,3.1,1.1,8.74,,,,,,,,,,,,,,,,,,,,,,,
Koster 2012,Subjective performance Cognitive impairment_concentration problems,6 month,"Log OR, SE",,,,,,,,,0.444685821,0.619383822,,,,,,,,,,,,,,,,
Koster 2012,Subjective performance Cognitive impairment_Confusion,6 month,"Log OR, SE",,,,,,,,,0.343589704,0.672863171,,,,,,,,,,,,,,,,
Koster 2012,Subjective performance Cognitive impairment_Memory problems,6 month,"Log OR, SE",,,,,,,,,0.652325186,0.715693918,,,,,,,,,,,,,,,,
Buurman 2011,Functional decline_change,12 month,Odds ratio,2.47,1.34,4.54,,,,,,,,,,,,,,,,,,,,,,,
Davis 2012,Functional decline (Functional worsening)_change,29 month,Odds ratio,2.76,1.38,5.52,,,,,,,,,,,,,,,,,,,,,,,
Furlaneto 2007,Functional impairment (Functional loss)_change,48 month,Odds ratio,2.11,0.43,10.28,,,,,,,,,,,,,,,,,,,,,,,
Givens 2009,Functional decline (ADL Decline)_change,6 month,Odds ratio,1.64,0.71,3.8,,,,,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Functional decline (ADL functioning Decreased)_change,3 month,Odds ratio,2.65,1.02,6.88,,,,,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Functional decline (No return to independent preoperative living situation)_change,3 month,Odds ratio,0.18,0.07,0.49,,,,,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Functional decline (Use of supportive care Increased (Care assistance))_change,3 month,Odds ratio,2.45,1.02,5.87,,,,,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Functional decline (Use of supportive care Increased (Domestic))_change,3 month,Odds ratio,0.72,0.27,1.9,,,,,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Functional decline (Use of supportive care Increased (Informal care))_change,3 month,Odds ratio,1,0.41,2.49,,,,,,,,,,,,,,,,,,,,,,,
Inouye 1998,Functional decline (ADL)_change,3 month,Odds ratio,2.7,1.4,5.2,,,,,,,,,,,,,,,,,,,,,,,
Noriega 2015,Functional decline (need for help) _change,12 month,Odds ratio,2.66,0.76,9.33,,,,,,,,,,,,,,,,,,,,,,,
Noriega 2015,Functional decline_change,12 month,Odds ratio,2,0.61,6.5,,,,,,,,,,,,,,,,,,,,,,,
Quinlan 2011,Functional decline_change,3 month,Odds ratio,2.1,1.2,3.8,,,,,,,,,,,,,,,,,,,,,,,
Edelstein 2004,Functional decline (Ambulation decline)_change,12 month,Odds ratio,2.7,1.1,6.6,,,,,,,,,,,,,,,,,,,,,,,
Edelstein 2004,Functional decline (B-ADL decline)_change,12 month,Odds ratio,3.5,1.6,7.6,,,,,,,,,,,,,,,,,,,,,,,
Beishuizen 2020,Functional decline (ADL)_change,7 month,Cohort 2x2 (Events),,,,7,14,28,77,,,,,,,,,,,,,,,,,,,
Guenther 2020,Functional decline (ADL Decline)_change,6 month,Cohort 2x2 (Events),,,,29,39,46,86,,,,,,,,,,,,,,,,,,,
Liang 2014,Functional decline (ADL decline) _change,1 month,Cohort 2x2 (Events),,,,8,17,46,165,,,,,,,,,,,,,,,,,,,
Liang 2014,Functional decline (ADL decline)_change,12 month,Cohort 2x2 (Events),,,,7,17,26,165,,,,,,,,,,,,,,,,,,,
Liang 2014,Functional decline (ADL decline)_change,3 month,Cohort 2x2 (Events),,,,5,17,25,165,,,,,,,,,,,,,,,,,,,
Liang 2014,Functional decline (ADL decline) _change,6 month,Cohort 2x2 (Events),,,,6,17,27,165,,,,,,,,,,,,,,,,,,,
Liang 2014,Functional decline (IADL decline)_change,1 month,Cohort 2x2 (Events),,,,6,13,59,165,,,,,,,,,,,,,,,,,,,
Liang 2014,Functional decline (IADL decline)_change,12 month,Cohort 2x2 (Events),,,,8,13,39,165,,,,,,,,,,,,,,,,,,,
Liang 2014,Functional decline (IADL decline)_change,3 month,Cohort 2x2 (Events),,,,6,13,45,165,,,,,,,,,,,,,,,,,,,
Liang 2014,Functional decline (IADL decline)_change,6 month,Cohort 2x2 (Events),,,,7,13,41,165,,,,,,,,,,,,,,,,,,,
McCusker 2014,Functional decline_change,6 month,Cohort 2x2 (Events),,,,5,27,39,206,,,,,,,,,,,,,,,,,,,
Murray 1993,Functional decline (physical function worse: community)_change,3 month,Cohort 2x2 (Events),,,,18,35,41,143,,,,,,,,,,,,,,,,,,,
Murray 1993,Functional decline (physical function worse: nursing home)_change,3 month,Cohort 2x2 (Events),,,,20,38,10,39,,,,,,,,,,,,,,,,,,,
Neufeld 2015,Functional decline (change from independent to dependent)_change,18 month,Cohort 2x2 (Events),,,,6,36,6,45,,,,,,,,,,,,,,,,,,,
Noriega 2015,Functional decline (need for help)_change,1 month,Cohort 2x2 (Events),,,,10,17,40,126,,,,,,,,,,,,,,,,,,,
Noriega 2015,Functional decline_change,1 month,Cohort 2x2 (Events),,,,6,18,41,129,,,,,,,,,,,,,,,,,,,
Racine 2018,Functional decline (Decline in physical function)_change,1 month,Cohort 2x2 (Events),,,,11,27,13,34,,,,,,,,,,,,,,,,,,,
Racine 2018,Functional decline (New impairment in cognitive IADL)_change,1 month,Cohort 2x2 (Events),,,,7,27,2,34,,,,,,,,,,,,,,,,,,,
Rudolph 2010,Functional decline_change,1 month,Cohort 2x2 (Events),,,,21,33,21,64,,,,,,,,,,,,,,,,,,,
Rudolph 2010,Functional decline_change,12 month,Cohort 2x2 (Events),,,,8,33,8,59,,,,,,,,,,,,,,,,,,,
Shim 2015,Functional decline (ADL deterioration)_change,1 month,Cohort 2x2 (Events),,,,49,90,62,206,,,,,,,,,,,,,,,,,,,
Shim 2015,Functional decline (IADL deterioration)_change,1 month,Cohort 2x2 (Events),,,,51,88,79,205,,,,,,,,,,,,,,,,,,,
Suraarunsumrit 2022,Functional decline(ADL)_change,3 month,Cohort 2x2 (Events),,,,6,26,49,247,,,,,,,,,,,,,,,,,,,
Suraarunsumrit 2022,Functional decline(IADL)_change,3 month,Cohort 2x2 (Events),,,,9,26,44,247,,,,,,,,,,,,,,,,,,,
Vives-Borrás 2019,Functional decline (ADL)_change,6 month,Cohort 2x2 (Events),,,,13,37,135,490,,,,,,,,,,,,,,,,,,,
Edelstein 2004,Functional decline (IADL decline)_change,12 month,Cohort 2x2 (Events),,,,18,25,335,613,,,,,,,,,,,,,,,,,,,
Francis 1990,Functional decline (ADL)_change,6 month,Cohort 2x2 (Events),,,,12,50,42,176,,,,,,,,,,,,,,,,,,,
Abelha 2013,Functional impairment (dependent for ADL)_performance ,6 month,Odds ratio,2.18,1.075,4.455,,,,,,,,,,,,,,,,,,,,,,,
Abelha 2013,Functional impairment (dependent for IADL)_performance ,6 month,Odds ratio,0.786,0.394,1.57,,,,,,,,,,,,,,,,,,,,,,,
Alzoubi 2022,Functional impairment (dependence ADL)_performance ,4 month,Odds ratio,1.4,0.27,7.15,,,,,,,,,,,,,,,,,,,,,,,
Bickel 2008,Functional impairment (need for long-term care)_performance ,38 month,Odds ratio,5.6,1.6,19.7,,,,,,,,,,,,,,,,,,,,,,,
Bickel 2008,Functional impairment (need for long-term care )_performance ,8 month,Odds ratio,1.7,0.5,5.4,,,,,,,,,,,,,,,,,,,,,,,
Czyzycki 2022,Functional impairment ( (poor functional outcome hyperactive)_performance ,12 month,Odds ratio,4.12,1.48,11.44,,,,,,,,,,,,,,,,,,,,,,,
Czyzycki 2022,Functional impairment ( (poor functional outcome hyperactive)_performance ,3 month,Odds ratio,3.25,1.23,8.55,,,,,,,,,,,,,,,,,,,,,,,
Czyzycki 2022,Functional impairment ( (poor functional outcome hypoactive)_performance ,12 month,Odds ratio,3.57,2.17,5.88,,,,,,,,,,,,,,,,,,,,,,,
Czyzycki 2022,Functional impairment ( (poor functional outcome mixed)_performance ,12 month,Odds ratio,1.83,1.35,2.48,,,,,,,,,,,,,,,,,,,,,,,
Czyzycki 2022,Functional impairment ( (poor functional outcome mixed)_performance ,3 month,Odds ratio,1.71,1.28,2.28,,,,,,,,,,,,,,,,,,,,,,,
Czyzycki 2022,Functional impairment (poor functional outcome hypoactive)_performance ,3 month,Odds ratio,3.07,1.94,4.85,,,,,,,,,,,,,,,,,,,,,,,
DelaVarga-Martínez 2022,Functional impairment (Less mobility)_performance ,36 month,Odds ratio,2.436,1.06,5.61,,,,,,,,,,,,,,,,,,,,,,,
Francis 1992,Functional impairment ( (loss of Independent Community Living)_performance ,24 month,Odds ratio,2.56,1.1,5.951,,,,,,,,,,,,,,,,,,,,,,,
Hawley 2023,Functional impairment (Not Return to outdoor mobility_performance ,4 month,Odds ratio,1.5873,1.33333,1.8867,,,,,,,,,,,,,,,,,,,,,,,
Jackson 2014,Functional impairment (Disabilities in ADL)_performance ,12 month,Odds ratio,0.63,0.27,1.46,,,,,,,,,,,,,,,,,,,,,,,
Jackson 2014,Functional impairment (Disabilities in ADL)_performance ,3 month,Odds ratio,1.5,0.63,3.57,,,,,,,,,,,,,,,,,,,,,,,
Jackson 2014,Functional impairment (Disabilities in ADL_performance ,12 month,Odds ratio,1.84,0.96,3.54,,,,,,,,,,,,,,,,,,,,,,,
Jackson 2014,Functional impairment (Disabilities in IADL)_performance ,3 month,Odds ratio,1.57,0.89,2.77,,,,,,,,,,,,,,,,,,,,,,,
Miyamoto 2021,Functional impairment (ADL disability)_performance ,12 month,Odds ratio,5.2,0.45,60.25,,,,,,,,,,,,,,,,,,,,,,,
Miyamoto 2021,Functional impairment (ADL disability)_performance ,3 month,Odds ratio,1.57,0.37,6.7,,,,,,,,,,,,,,,,,,,,,,,
Morandi 2014,Functional impairment (Walking Dependence)_performance ,12 month,Odds ratio,4.31,2.08,8.94,,,,,,,,,,,,,,,,,,,,,,,
Ogawa 2017,Frailty_performance ,10.3 month,Odds ratio,2.98,1.46,6.2,,,,,,,,,,,,,,,,,,,,,,,
Qu 2018,Functional impairment (disability)_performance ,3 month,Odds ratio,2.055,0.71,5.952,,,,,,,,,,,,,,,,,,,,,,,
Qu 2018,Functional impairment (disability)_performance ,6 month,Odds ratio,1.202,0.417,3.468,,,,,,,,,,,,,,,,,,,,,,,
Qu 2018,Functional impairment (poor IADL)_performance ,3 month,Odds ratio,2.9,1.071,7.851,,,,,,,,,,,,,,,,,,,,,,,
Qu 2018,Functional impairment (poor IADL)_performance ,6 month,Odds ratio,1.655,0.605,4.523,,,,,,,,,,,,,,,,,,,,,,,
Rawle 2021,Functional impairment,24 month,Odds ratio,30.5,15.7,59.2,,,,,,,,,,,,,,,,,,,,,,,
Rollo 2022,Functional impairment (poor functional outcome (disability and functional dependence))_performance ,3 month,Odds ratio,4.83,1.88,12.35,,,,,,,,,,,,,,,,,,,,,,,
Verloo 2016,Frailty_performance ,0.067 month,Odds ratio,1.19,1,1.43,,,,,,,,,,,,,,,,,,,,,,,
